item_name,description,location,date_found,time_found,image_url,category,brand,status
iPhone 14,A black iPhone 14 with a cracked screen.,SBM - C.421,2024-11-20,15:30:00,https://via.placeholder.com/300x160,Electronics,Apple,unclaimed
Samsung Galaxy S22,"Samsung Galaxy S22, silver color, with a broken camera.",SBM - B.320,2024-11-21,11:45:00,https://via.placeholder.com/300x160,Electronics,Samsung,unclaimed
Nike Air Max,"A pair of black Nike Air Max shoes, size 10.",SEG - S.434,2024-11-22,08:30:00,https://via.placeholder.com/300x160,Clothing,Nike,unclaimed
Uniqlo Hoodie,Blue Uniqlo hoodie with a small tear on the sleeve.,SHSS - J.324,2024-11-23,10:00:00,https://via.placeholder.com/300x160,Clothing,Uniqlo,unclaimed
Muji Notebook,"A Muji notebook with some notes in it, no cover damage.",SAS - P.523,2024-11-24,16:15:00,https://via.placeholder.com/300x160,Stationery,Muji,unclaimed
Sony Headphones,"Sony noise-canceling headphones, with a slight dent.",SAS - Q.322,2024-11-25,12:30:00,https://via.placeholder.com/300x160,Electronics,Sony,unclaimed
Black Leather Wallet,A black leather wallet with identification cards inside.,SBM - C.321,2024-11-26,14:20:00,https://via.placeholder.com/300x160,Wallets & Pouches,Daiso,unclaimed
Nike Sports Bag,A large Nike sports bag with some gym clothes inside.,SBM - D.325,2024-11-27,07:45:00,https://via.placeholder.com/300x160,Bags,Nike,unclaimed
Samsung Charger,A Samsung charger with a frayed wire.,SDM - M.435,2024-11-28,17:10:00,https://via.placeholder.com/300x160,Accessories,Samsung,unclaimed
Apple AirPods,"Apple AirPods, left earbud not charging.",SHSS - H.342,2024-11-29,09:30:00,https://via.placeholder.com/300x160,Electronics,Apple,unclaimed
Adidas Hoodie,"Adidas black hoodie, medium size.",Gym,2024-11-30,13:00:00,https://via.placeholder.com/300x160,Clothing,Adidas,unclaimed
Daiso Water Bottle,"A blue Daiso water bottle, 500ml, with a dent.",SEG - N1.232,2024-12-01,11:00:00,https://via.placeholder.com/300x160,Accessories,Daiso,unclaimed
Apple MacBook Charger,"Apple MacBook charger, slightly worn but fully functional.",Swimming Pool,2024-12-02,14:45:00,https://via.placeholder.com/300x160,Electronics,Apple,unclaimed
Samsung Portable Speaker,"Black Samsung portable speaker, great condition.",SHSS - H.322,2024-12-03,18:30:00,https://via.placeholder.com/300x160,Electronics,Samsung,unclaimed
Nike Sweatpants,"Nike gray sweatpants, size large.",SHSS - H.222,2024-12-04,09:00:00,https://via.placeholder.com/300x160,Clothing,Nike,unclaimed
Uniqlo Shirt,"White Uniqlo shirt, size medium, no stains.",SIT - L.624,2024-12-05,15:10:00,https://via.placeholder.com/300x160,Clothing,Uniqlo,unclaimed
Sony Camera,A Sony digital camera with a small scratch on the lens.,SDM - M.632,2024-12-06,10:15:00,https://via.placeholder.com/300x160,Electronics,Sony,unclaimed
Muji Pen,"A Muji pen with blue ink, slightly used.",SIT - L.624,2024-12-07,12:00:00,https://via.placeholder.com/300x160,Stationery,Muji,unclaimed
